,zona,quartos,area,preco
22,sul,2,100,2700
23,sul,2,150,3000
24,sul,4,650,10000
25,sul,3,200,5500
26,sul,5,545,17000
27,sul,5,645,25000
28,sul,,,20000
29,sul,,400,8700
30,sul,10,750,30000
31,sul,,150,6500
32,sul,13,435,8890
33,sul,,,8000
34,sul,4,372,9500
35,sul,3,149,4000
36,sul,2,100,15000
37,sul,6,390,18000
38,sul,4,315,8000
39,sul,3,350,6000
40,sul,,500,10000
41,sul,3,218,4400
42,sul,,180,10000
43,sul,6,300,10000
44,sul,2,168,3000
45,sul,2,120,2200
46,sul,4,400,25000
47,sul,3,445,20000
0,sul,,180,6000
1,sul,4,300,15000
2,sul,5,461,20000
3,sul,5,493,10000
4,sul,2,193,8000
5,sul,4,480,14800
6,sul,4,500,10000
7,sul,4,434,9800
8,sul,4,688,30000
9,sul,4,344,8000
10,sul,4,450,15000
11,sul,4,350,8500
12,sul,,270,11900
13,sul,4,480,25000
14,sul,,205,9000
15,sul,,300,5000
16,sul,,,7000
17,sul,2,100,5400
18,sul,4,345,4900
19,sul,3,400,5500
20,sul,4,480,7000
21,sul,,450,18000
22,sul,,148,10000
23,sul,,400,8700
24,sul,3,250,3600
25,sul,2,280,9500
26,sul,,380,18000
27,sul,3,289,18000
28,sul,,510,15000
29,sul,,350,12000
30,sul,,400,22000
31,sul,3,150,12000
32,sul,,131,6500
33,sul,4,300,8000
34,sul,4,300,4500
35,sul,10,600,20000
36,sul,3,350,6000
37,sul,,300,8000
38,sul,4,350,15000
39,sul,20,540,16000
40,sul,1,450,14855
41,sul,6,500,25000
42,sul,,220,6000
43,sul,,378,18000
44,sul,,400,35000
45,sul,3,300,8000
46,sul,,700,9000
47,sul,,254,5500
0,sul,3,340,7000
1,sul,,185,4000
2,sul,2,150,3200
3,sul,3,180,6000
4,sul,3,170,4500
5,sul,4,358,5300
6,sul,3,120,2700
7,sul,,330,6500
8,sul,,300,5800
9,sul,2,70,1800
10,sul,4,280,5500
11,sul,4,650,11000
12,sul,3,180,5500
13,sul,13,565,16000
14,sul,1,300,19510
15,sul,1,450,7000
16,sul,2,150,2500
17,sul,,500,25000
18,sul,5,140,16000
19,sul,3,400,15000
20,sul,5,400,8000
21,sul,,150,4500
22,sul,3,100,2200
23,sul,,170,10000
24,sul,2,45,1900
25,sul,3,150,5990
26,sul,,,750000
27,sul,,408,10000
28,sul,3,244,5000
29,sul,3,330,10000
30,sul,,320,7500
31,sul,,310,9000
32,sul,,438,8000
33,sul,,750,28000
34,sul,4,305,3500
35,sul,3,240,3400
36,sul,3,230,5800
37,sul,5,238,11500
38,sul,,528,19000
39,sul,3,150,3000
40,sul,3,150,2400
41,sul,3,85,2800
42,sul,3,280,5300
43,sul,4,271,7100
44,sul,2,92,2500
45,sul,4,350,8650
46,sul,3,100,3500
47,sul,3,170,4800
0,sul,,365,20400
1,sul,4,238,4500
2,sul,,,4300
3,sul,2,200,7870
4,sul,4,521,25870
5,sul,3,202,3250
6,sul,6,900,50000
7,sul,3,350,4500
8,sul,12,180,7500
9,sul,,286,10000
10,sul,2,70,2300
11,sul,,200,5500
12,sul,3,800,12000
13,sul,1,285,13000
14,sul,5,230,5000
15,sul,3,240,3000
16,sul,,397,12000
17,sul,,497,44800
18,sul,,457,18888
19,sul,,497,44800
20,sul,2,70,1800
21,sul,3,700,6000
22,sul,,220,7000
23,sul,4,260,11670
24,sul,4,333,6000
25,sul,,362,5000
26,sul,,200,9900
27,sul,7,380,10000
28,sul,4,366,12000
29,sul,3,400,11990
30,sul,3,350,4500
31,sul,,180,4000
32,sul,3,150,4000
33,sul,4,290,5500
34,sul,4,296,12000
35,sul,2,154,4000
36,sul,,200,6500
37,sul,2,120,3000
38,sul,4,210,14000
39,sul,4,400,60000
40,sul,3,160,3800
41,sul,4,300,3600
42,sul,3,500,15000
43,sul,,650,37999
44,sul,,191,6300
45,sul,3,225,4000
46,sul,3,340,18000
47,sul,5,240,4450
0,sul,4,220,7500
1,sul,,107,5200
2,sul,3,199,8800
3,sul,,600,20000
4,sul,3,120,4800
5,sul,3,180,3800
6,sul,,110,5500
7,sul,,218,4500
8,sul,,150,6000
9,sul,,130,9800
10,sul,,,2300
11,sul,3,600,9000
12,sul,8,200,7000
13,sul,3,212,5200
14,sul,4,300,4500
15,sul,,281,12000
16,sul,3,230,7000
17,sul,2,120,6000
18,sul,,200,4300
19,sul,3,5,2800
20,sul,,120,2500
21,sul,3,300,8500
22,sul,3,170,6000
23,sul,3,360,11000
24,sul,3,180,3700
25,sul,3,120,4000
26,sul,5,170,12000
27,sul,2,123,3990
28,sul,4,1156,29850
29,sul,3,300,3900
30,sul,3,150,4900
31,sul,2,80,2100
32,sul,2,260,4500
33,sul,2,106,4400
34,sul,,450,15000
35,sul,3,180,8000
36,sul,,140,5800
37,sul,3,230,7000
38,sul,,252,9000
39,sul,3,178,6000
40,sul,,216,14000
41,sul,3,111,3600
42,sul,3,115,2500
43,sul,1,80,1500
44,sul,,350,14800
45,sul,5,1000,48000
46,sul,,150,4500
47,sul,,900,45000
0,sul,3,120,3000
1,sul,10,370,14900
2,sul,,199,4900
3,sul,2,60,1800
4,sul,,250,4900
5,sul,4,450,7000
6,sul,,120,3700
7,sul,6,512,18000
8,sul,,,2600
9,sul,,434,45000
10,sul,8,300,6000
11,sul,3,350,5300
12,sul,2,250,5500
13,sul,,350,10900
14,sul,3,230,10000
15,sul,2,130,3200
16,sul,,168,10000
17,sul,4,300,22000
18,sul,,200,15000
19,sul,,168,10000
20,sul,1,537,7000
21,sul,3,209,4000
22,sul,4,482,10000
23,sul,2,160,4000
24,sul,8,500,15000
25,sul,,400,10000
26,sul,2,301,3500
27,sul,3,150,4900
28,sul,4,300,5622
29,sul,2,80,3340
30,sul,3,200,3500
31,sul,3,230,6000
32,sul,4,120,2500
33,sul,1,50,1300
34,sul,,300,7400
35,sul,3,291,3300
36,sul,2,70,2200
37,sul,3,120,3800
38,sul,,123,3990
39,sul,4,550,9500
40,sul,3,150,5000
41,sul,4,600,3500
42,sul,3,122,2700
43,sul,2,110,3000
44,sul,1,23,1180
45,sul,3,258,7000
46,sul,4,180,3501
47,sul,,240,8000
0,sul,2,100,4500
1,sul,,1030,50000
2,sul,,380,9500
3,sul,3,132,3800
4,sul,4,625,23000
5,sul,4,500,10000
6,sul,4,210,6000
7,sul,3,189,3500
8,sul,2,55,1100
9,sul,2,70,1500
10,sul,2,80,1500
11,sul,3,200,9000
12,sul,3,309,9000
13,sul,,120,5200
14,sul,5,750,28000
15,sul,5,320,8000
16,sul,,500,12000
17,sul,,230,7000
18,sul,,300,6500
19,sul,,200,8000
20,sul,4,512,18000
21,sul,,250,10000
22,sul,9,260,12000
23,sul,4,1800,59600
24,sul,2,120,3500
25,sul,1,220,8000
26,sul,4,100,3500
27,sul,1,700,69500
